"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"32","ENSMUSG00000018774",14965.4663116746,-3.22842476520639,0.128561795954401,-25.1118517848916,3.69162626285166e-139,2.51422821164341e-136
"33","ENSMUSG00000056888",1036.11913737909,-4.32646550249553,0.172398086372,-25.0957861165576,5.52904256502734e-139,3.65151374733957e-136
"34","ENSMUSG00000031438",2805.31738717045,-5.19816812523631,0.210266033077624,-24.7218632945689,6.22526650251696e-135,3.99039582811337e-132
"35","ENSMUSG00000024696",1535.15856087189,-2.79647901150608,0.113345493294177,-24.6721676374738,2.12840152680648e-134,1.3253252250063e-131
"36","ENSMUSG00000043157",965.609677967471,-3.21438795869194,0.131796169077026,-24.38908491197,2.23292986392456e-131,1.35179092928811e-128
"37","ENSMUSG00000021998",24809.6657492284,-2.97407109598926,0.124432372610821,-23.9011041386398,2.98283226271162e-126,1.75696881982533e-123
"38","ENSMUSG00000034652",4266.78503483485,-3.75954830151675,0.157863143465334,-23.8152378002174,2.32213834831459e-125,1.33180745166232e-122
"39","ENSMUSG00000021190",19378.7256200349,-2.40501210688971,0.101754562786626,-23.6354227370903,1.66702802087809e-123,9.31569453513258e-121
"40","ENSMUSG00000074802",1174.05766355072,-3.20070246074799,0.135532535239745,-23.6157499384649,2.65555467067383e-123,1.44687896231663e-120
"41","ENSMUSG00000060131",1158.4391514007,-3.18110189051444,0.135330848492843,-23.5061105870675,3.53216288408453e-122,1.87755994867654e-119
"42","ENSMUSG00000028238",7912.94690666323,-5.81748813476682,0.247744743370592,-23.4817823200577,6.26205993746638e-122,3.24941272088434e-119
"43","ENSMUSG00000056737",11597.5048061638,-2.53223937370629,0.107900265930969,-23.4683330189968,8.59175627301238e-122,4.35462177241934e-119
"44","ENSMUSG00000066510",525.864070937459,-4.57759260719979,0.195648004865033,-23.397082992784,4.57601616575871e-121,2.26658400719421e-118
"45","ENSMUSG00000103847",916.930351287437,-4.40406137217843,0.191442333230546,-23.0046369465984,4.18885509856551e-117,2.02870906706971e-114
"46","ENSMUSG00000040855",1623.65894257138,-1.83387393970583,0.0806272700126055,-22.7450828909266,1.60518447796928e-114,7.60508489410056e-112
"47","ENSMUSG00000054342",2106.00974774366,-3.35098998993721,0.147813973365298,-22.670319413279,8.7953676550425e-114,4.07843069519141e-111
"48","ENSMUSG00000027506",5113.12041962236,-2.33806462999013,0.10473542340488,-22.3235325163271,2.18339015945362e-110,9.91350106981919e-108
"49","ENSMUSG00000029189",478.445348528476,-4.18709665584723,0.187636576919944,-22.3149277426526,2.64670299087748e-110,1.1771886731262e-107
"50","ENSMUSG00000031266",1694.25206460051,-2.17913365796522,0.0977290884814257,-22.2976975619637,3.8900650103247e-110,1.69560153670033e-107
"51","ENSMUSG00000037280",1150.49040664582,-3.29523897222034,0.147806700410899,-22.2942462219889,4.20187573297758e-110,1.79560156322575e-107
"52","ENSMUSG00000026437",2180.50435609342,-3.53558447357764,0.159153444454883,-22.2149415973206,2.46301799790444e-109,1.03228873550633e-106
"53","ENSMUSG00000032076",2854.94128983649,-3.64698401175752,0.164488086057092,-22.1717213640123,6.43999655541896e-109,2.64817518733586e-106
"54","ENSMUSG00000034641",3458.956391919,-2.8220716417673,0.127800004433287,-22.0819369630026,4.71443146119153e-108,1.86811489573106e-105
"55","ENSMUSG00000044162",778.164333978272,-3.73964557706335,0.169347065894156,-22.0827302635445,4.63239782082027e-108,1.86811489573106e-105
"56","ENSMUSG00000027955",6138.93090155733,-1.49071534406426,0.0675219499573437,-22.0774925043782,5.20157352387867e-108,2.02434095320378e-105
"57","ENSMUSG00000021262",4198.19129568261,-3.22493144176658,0.14640763025456,-22.0270721967111,1.5849233397564e-107,6.0599682923949e-105
"58","ENSMUSG00000006219",2758.53831003996,-2.35104762315947,0.106823638187269,-22.0086833125634,2.37798148542917e-107,8.93547042990403e-105
"59","ENSMUSG00000053040",1055.82507059091,-2.42930370143117,0.110397159277618,-22.0051287309138,2.57188274865857e-107,9.5002733261466e-105
